SEZIONE,italia_dei_valori,partito_democratico,la_destra_fiamma_tricolore,u_d_c_e_democratici_di_centro,partito_comunista_lavoratori,sinistra_critica,associazione_difesa_vita,lega_nord,il_popolo_della_liberta,partito_liberale_italiano,unione_democratica_consumatori,forza_nuova,partito_socialista,la_sinistra_l_arcobaleno,per_il_bene_comune,TOTALE
48,28,218,10,43,0,1,5,32,272,2,0,4,7,12,4,738.0099999999999
49,33,233,20,19,1,0,9,34,210,0,1,1,7,20,0,687.9899999999999
51,34,160,7,27,3,0,5,39,262,4,0,3,5,18,1,668.0099999999999
55,39,183,9,22,4,1,3,31,208,1,1,0,2,28,4,636.0100000000001
56,39,214,12,21,2,0,4,21,185,2,2,0,4,14,2,621.99
60,32,198,12,20,2,2,4,17,172,0,1,3,6,19,2,590.0000000000001
61,23,209,11,25,0,1,3,22,192,0,2,1,8,22,1,619.99
67,41,267,17,17,4,6,0,16,135,4,1,0,10,23,3,644.0200000000001
69,28,252,10,32,1,4,1,22,133,0,4,3,2,29,1,622.0
74,40,313,9,21,1,1,7,20,120,1,0,1,3,13,2,651.9899999999999
75,51,276,18,26,0,2,3,31,165,2,1,4,7,18,2,706.0200000000001
78,34,236,31,15,1,1,8,29,200,4,3,8,7,13,2,692.0
82,27,332,20,13,5,3,1,16,101,2,1,0,2,20,2,645.0099999999999
86,21,202,10,20,1,5,6,20,207,0,1,2,4,14,2,614.99
90,32,208,16,18,1,2,4,33,170,1,3,1,4,23,1,616.9700000000003
93,40,224,18,19,3,1,5,19,117,2,1,1,9,24,1,584.0100000000001
96,35,190,21,15,2,4,5,19,159,0,0,0,4,26,2,581.99
99,42,240,16,19,1,3,3,22,249,1,0,0,6,17,4,722.99
