SEZIONE,ALLEANZA NAZIONALE,ALTERNATIVA SOCIALE,D.C. E NUOVO P.S.I.,DEMOCRATICI DI SINISTRA,FORZA ITALIA,INSIEME CON L'UNIONE,ITALIA DEI VALORI,LA MARGHERITA,LA ROSA NEL PUGNO,LEGA NORD,M.S.FIAMMA TRICOLORE,P.R.I.,P.S.D.I.,PARTITO PENSIONATI,REPUBBLICANI EUROPEI,RIFONDAZIONE COMUNISTA,UDEUR,UNIONE DI CENTRO,TOTALE
400,53,4,0,266,59,46,16,44,22,8,3,2,2,10,0,57,0,26,618
401,56,4,2,247,88,46,22,44,14,14,0,0,2,4,1,34,3,28,609
402,33,3,3,291,73,40,17,43,14,9,1,0,2,11,0,36,2,15,593
403,44,2,3,239,63,57,12,30,7,11,2,1,1,4,1,39,1,32,549
404,72,3,4,206,124,49,19,61,20,18,3,2,0,5,0,21,5,51,663
405,68,0,1,259,115,36,22,46,14,14,0,1,2,9,0,31,2,32,652
406,62,4,0,221,85,52,13,38,19,10,2,0,0,5,2,35,3,29,580
407,40,1,3,305,58,41,23,33,23,7,0,1,0,6,2,33,1,19,596
408,60,2,2,208,105,42,11,58,14,7,3,1,1,2,0,28,1,50,595
409,73,4,4,272,84,43,20,56,16,14,0,0,0,3,0,50,4,34,677
410,71,4,1,183,127,46,16,41,13,12,2,0,1,3,2,21,1,34,578
411,33,3,2,93,62,8,4,6,5,5,1,3,0,5,1,16,1,12,260
412,86,2,1,152,161,31,16,56,20,20,1,2,3,1,4,19,4,32,611
413,89,5,2,177,80,38,29,35,15,9,6,1,2,11,2,42,1,44,588
414,64,5,2,176,118,39,18,48,15,8,0,0,1,10,1,34,3,34,576
415,114,5,0,196,126,30,23,55,17,18,1,3,1,7,0,22,1,46,665
416,66,2,2,189,105,35,26,38,20,13,0,0,0,6,2,28,2,46,580
417,90,2,2,194,136,38,25,39,21,9,7,2,0,3,0,17,3,51,639
418,68,2,2,226,104,36,21,66,14,5,3,2,0,6,2,36,1,34,628
419,73,5,0,188,109,46,12,42,18,16,1,0,2,6,1,36,2,33,590
420,71,3,1,209,107,48,20,46,11,15,2,0,3,6,3,37,2,38,622
421,70,0,2,224,102,31,19,38,17,15,2,1,0,6,2,44,3,32,608
422,88,1,0,140,124,40,10,56,15,8,1,1,0,4,6,31,2,46,573
423,66,1,4,209,127,32,13,37,13,11,3,0,0,4,2,35,2,66,625
424,49,3,5,260,71,28,12,36,22,13,1,2,2,7,3,31,2,40,587
