SEZIONE,collegio_camera,l_ulivo_per_rutelli,lista_di_pietro,casa_delle_liberta,lista_pannella_bonino,democrazia_europea,TOTALE
399,12,456,15,193,7.0,6.0,789.00598227
400,12,515,19,153,13.0,11.0,823.00319269
401,12,461,16,180,13.0,5.0,787.0062962999999
402,12,483,12,176,12.0,4.0,799.00567686
403,12,432,14,156,12.0,8.0,734.0033762099998
404,12,387,21,260,19.0,6.0,805.00415584
405,12,475,12,233,19.0,11.0,862.00333333
408,12,377,14,246,14.0,5.0,767.9895121999999
410,12,345,22,303,14.0,3.0,798.99834061
411,12,130,9,122,6.0,11.0,390.00258993
414,16,359,14,256,17.0,7.0,768.9870291
415,16,350,10,265,21.0,10.0,771.99365854
416,16,332,22,254,15.0,12.0,750.99346457
420,16,426,16,231,17.0,10.0,816.0071428599999
421,16,413,27,224,13.0,15.0,808.0020809199999
423,16,391,10,275,17.0,16.0,825.00809591
425,16,419,21,238,17.0,9.0,819.9970454499999
441,12,64,3,25,1.0,0.0,205.00720430000004
442,12,49,3,35,9.0,1.0,208.99546392
449,14,51,4,24,,,192.99696203
450,14,77,7,44,,,242.00625
3,13,250,6,297,8.0,8.0,682.0067311099999
4,13,272,21,280,33.0,33.0,751.99651017
5,13,197,12,321,21.0,21.0,685.00055944
7,13,359,25,231,9.0,9.0,745.9940600299999
9,13,307,13,221,8.0,8.0,670.00669659
10,13,306,27,205,4.0,4.0,659.00395604
28,16,310,19,325,12.0,12.0,794.00271386
30,16,348,17,300,11.0,11.0,802.99502183
31,16,329,8,252,10.0,10.0,724.99298851
32,16,397,12,270,9.0,9.0,812.9983931099999
33,16,399,13,224,20.0,20.0,792.0036686400001
36,16,355,18,246,13.0,13.0,761.00875969
41,16,359,22,273,9.0,9.0,788.00261905
42,16,380,19,218,12.0,12.0,756.99237129
46,13,309,8,247,7.0,7.0,690.9902076100001
51,13,219,14,359,18.0,18.0,741.01261146
52,13,218,17,342,9.0,9.0,707.99865546
53,13,309,12,280,3.0,3.0,719.9960955500001
58,13,239,11,333,16.0,16.0,728.0017886200001
61,13,261,24,255,18.0,18.0,689.0125
63,14,313,27,276,,,730.00168831
70,14,424,30,158,,,726.00104575
71,14,331,39,265,,,748.99598425
77,14,360,25,258,,,756.99755832
79,14,333,32,314,,,792.99270987
81,14,516,30,182,,,841.99912088
82,14,415,19,161,,,708.99789916
83,14,345,13,222,,,694.00275862
90,13,257,13,261,24.0,7.0,674.99953737
94,13,306,12,151,19.0,12.0,612.9999999999999
95,13,293,26,217,22.0,7.0,677.99840708
96,13,284,10,241,19.0,4.0,671.00605735
97,13,287,23,212,16.0,9.0,660.0080073099998
102,12,356,14,253,11.0,10.0,755.99950311
106,12,416,22,194,11.0,7.0,762.0000000000001
107,12,445,12,205,22.0,8.0,803.99635838
115,12,369,14,159,11.0,3.0,668.00690647
116,12,416,13,204,8.0,7.0,759.9975308600001
117,12,392,24,261,24.0,7.0,819.99723164
118,12,214,5,143,6.0,5.0,485.00265416
122,12,386,19,256,16.0,6.0,794.99537335
125,12,416,19,187,21.0,9.0,763.99368098
126,12,363,28,268,15.0,7.0,792.99396476
130,12,385,20,249,12.0,11.0,788.98853767
133,12,432,19,274,19.0,17.0,873.0074113000001
135,12,498,12,178,20.0,4.0,824.0038202199999
136,12,339,18,228,18.0,6.0,721.01502463
144,12,293,12,287,20.0,12.0,735.99512821
148,12,317,18,232,9.0,6.0,693.9973539499999
153,12,275,8,259,20.0,4.0,677.99657244
155,12,282,13,336,31.0,7.0,780.99246637
156,12,227,11,327,20.0,8.0,704.98993255
157,12,221,16,382,23.0,9.0,762.9977726599999
161,12,238,13,339,19.0,18.0,738.9985326999999
166,12,276,15,333,20.0,6.0,762.0015384599999
167,12,287,12,323,23.0,7.0,763.99840491
172,12,278,12,374,18.0,11.0,805.0054401200001
175,12,291,14,290,19.0,9.0,734.9994703
176,12,271,21,288,15.0,13.0,720.0023684199999
179,12,415,13,192,14.0,10.0,755.99099379
186,12,347,15,272,17.0,7.0,769.99556231
189,16,236,11,349,23.0,12.0,747.00095087
191,16,212,15,384,31.0,12.0,769.9959021400001
193,16,201,13,428,31.0,4.0,792.99980798
196,16,180,14,336,18.0,12.0,675.99285714
197,16,247,9,259,16.0,15.0,662.00809524
199,14,441,32,196,,,782.9992825100001
201,14,486,32,198,,,829.99709497
211,14,571,33,252,,,970.00560748
213,14,493,21,174,,,801.99697674
221,14,452,25,182,,,772.9987708599999
224,14,415,29,208,,,766.00030675
226,14,440,20,195,,,768.9955725200001
227,14,451,24,169,,,758.0010559
228,14,462,34,153,,,762.99644068
240,14,451,29,216,,,809.9988505700001
242,14,513,24,203,,,853.99432432
245,14,489,36,186,,,824.9963713100001
248,14,517,25,141,,,796.9954611999999
249,14,567,19,153,,,852.99530447
257,14,392,21,201,,,728.0036482099999
259,14,393,21,192,,,720.00148515
263,13,394,13,203,13.0,18.0,754.0064586599999
264,13,377,6,199,15.0,4.0,714.0087853599999
266,13,389,17,206,14.0,10.0,748.9935220100001
269,13,406,24,223,17.0,11.0,794.00820852
271,13,410,19,197,18.0,8.0,764.99343558
273,13,357,20,196,21.0,10.0,717.00596026
277,13,380,22,290,15.0,8.0,828.00685315
279,13,488,15,125,18.0,6.0,764.9966257699999
283,13,461,21,157,16.0,12.0,780.00544228
292,13,447,20,146,20.0,11.0,757.0099378900001
293,13,456,11,168,20.0,9.0,777.0046988
296,14,518,34,209,,,874.9983311400001
298,14,485,24,169,,,792.0039233
300,14,462,14,167,,,757.00069984
301,14,535,34,186,,,869.0009271499999
311,14,540,19,145,,,818.0045454499999
314,14,489,31,228,,,861.99433155
316,14,416,33,193,,,755.9975077900001
318,14,437,25,194,,,769.99585366
321,14,432,19,147,,,712.00080268
323,14,461,27,182,,,783.99597015
325,14,479,22,192,,,806.99976912
327,14,413,30,189,,,746.00810127
328,14,522,25,217,,,877.99460733
332,13,423,22,212,16.0,13.0,799.00180758
336,13,457,13,223,10.0,12.0,828.0060839199999
337,13,458,18,167,15.0,4.0,775.0042900300001
338,13,311,13,191,11.0,10.0,649.00238806
341,13,439,14,180,12.0,9.0,766.99538226
349,13,454,14,136,15.0,5.0,736.9864102599998
350,13,469,10,140,7.0,6.0,744.9988607600001
353,13,456,21,131,12.0,23.0,756.00757387
357,13,425,18,229,13.0,16.0,813.99767475
367,12,399,13,243,19.0,21.0,806.99007194
369,12,454,12,239,16.0,16.0,849.0010854799998
370,12,465,15,213,20.0,9.0,834.00443213
376,12,373,12,268,14.0,5.0,783.9959523800001
377,12,462,15,185,11.0,3.0,788.0031952700001
379,12,445,17,184,21.0,5.0,784.0002380999999
385,12,407,22,256,15.0,4.0,816.0025
388,12,406,18,224,17.0,9.0,785.99738872
394,12,437,12,255,15.0,6.0,837.0058620700001
395,12,420,16,217,24.0,10.0,799.0053711800001
397,12,458,18,183,17.0,3.0,790.9921354900001
407,12,512,18,149,13.0,3.0,806.9990647499999
409,12,550,19,245,11.0,12.0,948.99087216
412,16,301,17,338,25.0,13.0,809.99175793
422,16,313,16,284,16.0,13.0,757.99389408
427,16,455,12,152,12.0,9.0,756.01375
429,16,380,14,245,15.0,16.0,786.0064179100001
430,16,450,16,206,14.0,13.0,814.9976824
431,16,348,17,263,15.0,6.0,764.9909553199999
432,16,219,11,282,20.0,8.0,655.9955555600001
433,16,324,20,284,18.0,11.0,772.99506849
435,16,368,31,243,24.0,5.0,787.0035171400001
436,16,379,10,229,19.0,5.0,758.00426791
438,12,94,4,47,4.0,2.0,263.00165563
439,12,67,5,49,1.0,2.0,236.00225806000003
440,12,75,4,38,3.0,3.0,234.99560976
443,12,53,0,35,0.0,2.0,201.99888889
444,12,80,5,39,3.0,3.0,242.00846154
448,16,35,3,15,0.0,1.0,170.00481481
