tile_id,x,y,people,pvhe
6549,21,64,118,-0.014050477178532049
6550,22,64,1202,-0.023290715336122585
6551,23,64,508,-0.02730451777489529
6552,24,64,1402,-0.023636197026352456
6553,25,64,2373,-0.036623840756211605
6554,26,64,261,-0.053692345489408905
6555,27,64,1,-0.0556655810028069
6556,28,64,13,-0.04909607143349047
6557,29,64,351,-0.0431300212034529
6558,30,64,688,-0.07531616195112666
6559,31,64,2488,-0.06446339988588602
6560,32,64,796,-0.07228460047614879
6561,33,64,1613,-0.05278070731274902
6562,34,64,2084,-0.049017380168022755
6563,35,64,740,-0.03744246789297595
6564,36,64,895,-0.05989180373829163
6565,37,64,2501,-0.053242496110059566
6566,38,64,3742,-0.0496298091326834
6567,39,64,2866,-0.05762868443334539
6568,40,64,357,-0.05432675274655407
6569,41,64,13,-0.0519600054532575
6570,42,64,4,-0.051969350679142184
6571,43,64,1,-0.059218379475636046
6572,44,64,42,-0.0728235893464115
6573,45,64,2038,-0.08771989048113668
6574,46,64,2923,-0.07564376114121563
6575,47,64,4884,-0.07412924836301209
6576,48,64,3449,-0.05850468683291668
6577,49,64,4435,-0.06701723262508909
6578,50,64,3035,-0.07786066269712383
6579,51,64,3905,-0.08361094000921052
6580,52,64,1758,-0.07754899217099202
6581,53,64,3559,-0.0758739460599632
6582,54,64,1069,-0.06328505386211822
6583,55,64,981,-0.06350230575594931
6584,56,64,480,-0.060878789301031196
6585,57,64,3324,-0.061149933932277224
6586,58,64,219,-0.02392930233830065
6587,59,64,716,-0.03024749988159635
6588,60,64,1666,-0.061862732681278454
6589,61,64,55,-0.05540011869052297
6590,62,64,1,-0.051585592077006165
6592,64,64,2,-0.050279065601697606
6594,66,64,491,-0.06528218043937817
6642,12,65,2,-0.0283895410231364
6643,13,65,56,-0.0283895410231364
6644,14,65,35,-0.0283895410231364
6645,15,65,20,-0.028211191916679656
6646,16,65,5,-0.0024139514328776666
6647,17,65,53,0.0031530211197335
6648,18,65,74,0.0031530211197335
6649,19,65,284,0.0042734293358385
6650,20,65,65,-0.00584992097682304
6651,21,65,17,-0.0011045868145516146
6652,22,65,41,-0.0048412335197345
6653,23,65,1348,-0.025507380476240075
6654,24,65,1474,-0.023888841654404146
6655,25,65,233,-0.05046247545685598
6656,26,65,1319,-0.04123267841083713
6657,27,65,208,-0.05209198636003898
6658,28,65,18,-0.04471668613574218
6659,29,65,312,-0.06210078152881676
6661,31,65,320,-0.07243692976900436
6663,33,65,58,-0.07069583780405493
6664,34,65,810,-0.04713543866431835
6665,35,65,1477,-0.047446198199680066
6666,36,65,549,-0.06077065916270743
6667,37,65,18,-0.06001731682036901
6668,38,65,688,-0.05809284663396515
6669,39,65,544,-0.06416356235552566
6670,40,65,281,-0.058931746985831576
6671,41,65,24,-0.04802440831236608
6672,42,65,5,-0.06514825173164139
6673,43,65,5,-0.07274723016287332
6674,44,65,63,-0.0728235893464115
6675,45,65,1740,-0.08864565546642028
6676,46,65,3460,-0.0887687534669634
6677,47,65,6048,-0.08164968006854274
6678,48,65,3651,-0.05210537222857458
6679,49,65,2493,-0.057999043051273624
6680,50,65,2703,-0.07563952817518642
6681,51,65,3455,-0.07339127893157234
6682,52,65,11,-0.04209936315553097
6683,53,65,700,-0.05697055027504878
6684,54,65,158,-0.03874593825726244
6685,55,65,321,-0.05198529383546799
6687,57,65,1453,-0.05108486833423442
6688,58,65,4,-0.016227235282093286
6689,59,65,5,-0.016247122876293752
6690,60,65,214,-0.0360312276791003
6691,61,65,20,-0.04102586130832843
6692,62,65,121,-0.02645432731326961
6696,66,65,33,-0.0659926392499611
6744,12,66,10,-0.0283895410231364
6745,13,66,15,-0.0283895410231364
6746,14,66,18,-0.0283895410231364
6747,15,66,11,-0.01430167016996206
6748,16,66,10,0.0031530211197335
6749,17,66,5,0.0031530211197335
6750,18,66,306,0.0031530211197335
6751,19,66,244,0.003971428478507962
6752,20,66,23,0.0026484064086614552
