SEZIONE,TOTALE_ISCRITTI,SINISTRA ECOLOGIA LIBERTA',CENTRO DEMOCRATICO,PD - PARTITO DEMOCRATICO,RIVOLUZIONE CIVILE INGROIA,MIR - MODERATI IN RIVOLUZIONE,FRATELLI D'ITALIA-CENTRODESTRA,PENSIONATI,IL POPOLO DELLA LIBERTA',LEGA NORD,LA DESTRA STORACE,FARE PER FERMARE IL DECLINO,CASAPOUND ITALIA,FIAMMA TRICOLORE,MOVIMENTO 5 STELLE BEPPEGRILLO,FINI - FUTURO E LIBERTA',SCELTA CIVICA CON MONTI,CASINI - LIBERTAS - UDC,FN - FORZA NUOVA,TOTALE,AFFLUENZA
699,799,31,3,196,16,0,10,9,106,11,2,2,2,1,147,7,58,5,1,607,0.7596996245306633
700,720,27,1,158,12,0,4,5,113,12,4,3,0,0,127,2,47,5,0,520,0.7222222222222222
701,633,16,0,125,19,0,8,10,98,16,1,6,5,1,114,0,30,2,1,452,0.7140600315955766
702,941,28,5,191,13,0,8,9,131,6,1,2,2,1,180,2,45,4,2,630,0.6695005313496281
703,737,23,1,151,10,0,10,6,119,8,0,2,4,1,155,2,50,4,3,549,0.7449118046132972
704,604,35,1,141,15,1,12,4,63,12,0,2,0,0,117,2,22,2,1,430,0.7119205298013245
705,516,20,2,76,12,0,8,5,67,7,3,2,0,0,130,0,28,4,1,365,0.7073643410852714
706,468,12,2,86,8,0,14,4,53,3,3,2,0,0,82,1,35,1,2,308,0.6581196581196581
707,619,30,1,106,20,1,11,6,89,5,1,5,0,2,106,4,36,3,0,426,0.6882067851373183
708,351,4,2,22,1,0,1,0,20,2,1,2,0,0,32,2,8,0,2,99,0.28205128205128205
709,540,31,0,130,15,0,10,5,65,7,1,12,2,0,82,0,54,5,0,419,0.7759259259259259
710,560,31,1,117,14,0,12,4,70,12,4,10,0,0,87,0,81,0,0,443,0.7910714285714285
711,572,25,4,143,10,0,10,2,67,6,2,13,3,0,104,3,62,1,1,456,0.7972027972027972
712,489,18,1,95,5,0,11,0,77,13,0,8,2,0,96,1,52,3,0,382,0.7811860940695297
713,797,27,0,182,11,0,7,5,91,23,0,24,0,0,155,3,85,1,0,614,0.7703889585947302
714,1042,40,1,214,13,0,24,6,116,25,0,16,1,1,226,5,103,6,1,798,0.7658349328214972
715,572,13,1,112,9,0,17,2,79,23,2,14,0,0,106,2,62,3,0,445,0.777972027972028
716,426,20,0,101,7,0,21,3,55,16,1,14,0,0,51,2,58,2,1,352,0.8262910798122066
717,442,26,1,96,5,1,18,1,80,14,0,18,0,1,59,2,63,4,0,389,0.8800904977375565
718,391,6,0,84,8,0,19,0,56,10,1,8,0,0,47,2,56,8,0,305,0.7800511508951407
719,551,19,0,95,5,3,6,0,69,16,1,18,1,0,58,1,119,6,0,417,0.7568058076225045
720,561,30,2,105,9,0,10,3,89,16,3,12,1,2,100,2,71,1,1,457,0.8146167557932263
721,235,14,0,42,6,0,4,0,22,16,0,13,0,0,34,0,29,2,0,182,0.774468085106383
722,754,30,3,191,15,0,23,6,99,12,1,42,0,2,122,1,101,8,1,657,0.8713527851458885
723,543,17,1,74,2,0,30,2,97,23,3,16,0,0,63,1,110,6,1,446,0.8213627992633518
724,692,64,2,149,18,0,11,1,81,11,3,9,0,1,94,1,45,3,1,494,0.7138728323699421
725,717,60,5,117,20,1,8,5,62,9,2,4,0,1,115,2,29,6,2,448,0.6248256624825662
726,582,64,2,122,26,0,5,1,57,3,3,9,0,0,99,3,28,1,1,424,0.7285223367697594
727,644,47,1,184,17,3,8,7,67,9,0,14,0,0,84,3,48,1,0,493,0.765527950310559
728,624,57,1,109,23,0,2,10,57,7,0,9,0,0,122,0,39,0,0,436,0.6987179487179487
