tile_id,x,y,people,hc1,hc2,pvhe
2545,29,34,698,27.718096,3.2495565,-0.058282542755589625
2546,30,34,877,35.644455,4.2391567,-0.07353344088287975
2547,31,34,849,34.72467,3.8574147,-0.0734144272959029
2548,32,34,82,3.3538148,0.3230713,-0.032921983207350604
2549,33,34,835,34.73289,3.6542256,-0.060497801388267054
2550,34,34,700,29.520576,3.178006,-0.06974565155034847
2551,35,34,746,31.564974,3.2977965,-0.07642417359151911
2552,36,34,555,23.54546,2.4115398,-0.07065510288479916
2553,37,34,1183,50.484512,5.5904865,-0.07873075422877635
2554,38,34,914,38.48224,3.8556845,-0.07642505248919466
2555,39,34,582,24.115244,2.1423826,-0.0715415404664386
2556,40,34,379,15.557709,1.296666,-0.07166746382810478
2557,41,34,655,26.82034,2.3172529,-0.06970865398285374
2558,42,34,576,23.419392,1.9654065,-0.060626244341888985
2559,43,34,526,21.16569,1.6852019,-0.06491277199049549
2560,44,34,65,2.5745368,0.17692348,-0.06482555826214596
2561,45,34,35,1.3679883,0.08521867,-0.06677213738396819
2562,46,34,28,1.086025,0.064115904,-0.0543919792553242
2563,47,34,45,1.7476315,0.10569116,-0.04959667942649115
2564,48,34,151,5.927023,0.39812428,-0.03835765339946495
2565,49,34,604,24.131052,1.9160756,-0.05420614297697641
2566,50,34,307,12.434355,1.0159929,-0.05744669091381446
2567,51,34,642,26.538877,2.487242,-0.052009828311993855
2568,52,34,435,18.244719,1.8069159,-0.05636416427430399
2569,53,34,989,42.13425,4.814202,-0.06329035210327173
2570,54,34,892,37.865593,4.376422,-0.07147825800290754
2571,55,34,809,33.784115,3.7994788,-0.09199411305665632
2572,56,34,1232,50.622612,5.929764,-0.08822219591640268
2573,57,34,867,34.83513,4.0182147,-0.07448487550729542
2574,58,34,1416,55.82935,7.0750375,-0.0781554613502358
2575,59,34,1495,56.826363,7.2342205,-0.07790436558659984
2576,60,34,979,34.92399,3.8297234,-0.07285744569666837
2577,61,34,140,4.5919714,0.35163176,-0.056303745536610425
2578,62,34,28,0.8545844,0.051144138,-0.0443364911870876
2581,65,34,2,0.051221974,0.002077386,-0.0443364911870876
2582,66,34,1,0.024263123,0.0008761552,-0.044587245778346496
2583,67,34,1,0.023056708,0.00075403735,-0.04761252813200192
2601,11,35,175,3.3726852,0.16418314,-0.03572396101624809
2602,12,35,586,12.087342,0.85402566,-0.02848965243701722
2603,13,35,679,14.885748,1.2302121,-0.036629043246324246
2604,14,35,826,19.180006,1.8225422,-0.03649432365486126
2605,15,35,1012,24.563475,2.519145,-0.02900771617914667
2606,16,35,588,14.448827,1.2071776,-0.05127408146513412
